year-month,monthly_avg
2020-01,1
2020-02,3
2020-03,6359
2020-04,29224
2020-05,23157
2020-06,27720
2020-07,61310
2020-08,46996
2020-09,39756
2020-10,61047
2020-11,149238
2020-12,203991
2021-01,197169
2021-02,84805
2021-03,59628
2021-04,62762
2021-05,29508
2021-06,12055
2021-07,44494
2021-08,138635
2021-09,138042
2021-10,79872
2021-11,86203
2021-12,199100
2022-01,654815
